register_id,variable_name,description_dk,start_year,end_year,variable_times_url,variable_hkd_url
AKM,DISCOALLE_INDK,"Fagklassifikation for beskæftigelsesforhold, fra 1991 TIL 2009 (AKM)",1993,2009,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/DISCOALLE-INDK,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/DISCOALLE-INDK
AKM,DISCOLOEN_INDK,Fagkode for væsentligste lønmodtagerbeskæftigelse i året. (AKM),1991,2009,NA,NA
AKM,DISCOSEL_INDK,Fagkode for arbejde i selvstændig virksomhed (AKM),1991,2009,NA,NA
AKM,DISCOTYP,Kilde til lønmodtager DISCO-koden (AKM),1991,2018,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/DISCOTYP,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/DISCOTYP
AKM,DISCO_ALLE_INDK_13,"Fagklassifikation for beskæftigelsesforhold, fra 1991 TIL 2009 (AKM)",1991,2009,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/DISCO-ALLE-INDK-13,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/DISCO-ALLE-INDK-13
AKM,FUNK_TIMEANT,Personens samlede antal arbejdstimer i året.,2008,2018,NA,NA
AKM,NACE,"Branche for væsentligste beskæftigelse, fra 1992 til 2007 (AKM)",1992,2007,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/NACE,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/NACE
AKM,NACEA,Branchegruppering for arbejdssted (1993 til 2007) (AKM),1992,2007,NA,NA
AKM,NACEA_DB07,Branchegruppering for arbejdssted ( fra 2007) (AKM),2007,2018,NA,NA
AKM,NACEI,Branchekode for selvstændige og medarbejdende ægtefællers virksomhed(1993 til 2007) (AKM),1993,2007,NA,NA
AKM,NACEI_DB07,Branchegruppering for indehaver (Selvstændig eller medhjælpende ægtefælle) (fra 2007) (AKM),2007,2018,NA,NA
AKM,NACE_13,"Branche for væsentligste beskæftigelse, fra 1993 til 2007 (AKM)",1993,2007,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/NACE-13,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/NACE-13
AKM,NACE_DB07,"Branche for væsentligste beskæftigelse, fra 2008-2013 (AKM)",2007,2013,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/NACE-DB07,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/NACE-DB07
AKM,NACE_DB07_13,"Branche for væsentligste beskæftigelse, fra 2007(AKM)",2007,2018,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/NACE-DB07-13,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/NACE-DB07-13
AKM,NYSTGR,Stillingsgruppering 1980 til 1995 (AKM),1980,1999,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/NYSTGR,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/NYSTGR
AKM,OMFANG,Omfang af skattepligt,1991,2018,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/OMFANG,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personindkomster/OMFANG
AKM,PNR,Personnummer,1976,2018,https://www.dst.dk/da/Statistik/dokumentation/Times/Forskningsservice/PNR,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/PNR
AKM,SENR,SENR,1985,2002,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Arbejdsmarked/SENR,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Loenoplysninger-fra-det-centrale-oplysningsseddelregister/SENR
AKM,SENRI,SE-nummer for den virksomhed som personen ejer,1985,2002,NA,NA
AKM,SENRL,SE-nummer for lønmodtager,1985,1998,NA,NA
AKM,SOCIO,Socioøkonomisk klassifikation fra 1994 til 2001 (AKM),1994,2001,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/SOCIO,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/SOCIO
AKM,SOCIO02,Socioøkonomisk klassifikation fra 2002 (AKM),2002,2013,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/SOCIO02,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/SOCIO02
AKM,SOCIO13,Socioøkonomisk klassifikation version 2013 (AKM),1991,2018,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/SOCIO13,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/SOCIO13
AKM,SOCIO_GL,Socioøkonomisk klassifikation fra 1976 til 1990,1976,1990,NA,NA
AKM,TYP,Stillingstype,1980,1999,NA,NA
AKM,VERSION,Moduldata version,1991,2018,NA,NA
AKM,VIRKF,Virksomhedskode angiver hvilken form for ejerskab der er på den arbejdsplads personen får størst erhrvsindkomst fra (AKM),2001,2013,NA,NA
AKM,VIRKFA,Virksomhedskode angiver hvilken form for ejerskab der er på den arbejdsplads personen får størstklønindkomst/arbejdstimer (AKM),2001,2018,NA,NA
AKM,VIRKF_13,Virksomhedskode angiver hvilken form for ejerskab der er på den arbejdsplads personen får størst erhrvsindkomst fra (AKM),2001,2018,NA,NA
AKM,ALDER_ULT_INK,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/ALDER-ULT-INK,NA
AKM,ANT_ANSAT_ARBSTED,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/ANT-ANSAT-ARBSTED,NA
AKM,ANT_ANSAT_ARBSTED_13,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/ANT-ANSAT-ARBSTED-13,NA
AKM,ANT_ANSAT_SENR,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/ANT-ANSAT-SENR,NA
AKM,ATPSUM2,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/ATPSUM2,NA
AKM,CPRTJEK,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/forskningsservice/cprtjek,NA
AKM,CPRTYPE,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/forskningsservice/cprtype,NA
AKM,DISCO08_LOEN_INDK,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/DISCO08-LOEN-INDK,NA
AKM,DISCO08_SEL_INDK,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/DISCO08-SEL-INDK,NA
AKM,DISCOLOEN_INDK,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/DISCOLOEN-INDK,NA
AKM,DISCOSEL_INDK,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/DISCOSEL-INDK,NA
AKM,FUNK_TIMEANT,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/FUNK-TIMEANT,NA
AKM,NACEA,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/NACEA,NA
AKM,NACEA_DB07,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/NACEA-DB07,NA
AKM,NACEI,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/NACEI,NA
AKM,NACEI_DB07,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/NACEI-DB07,NA
AKM,TYP,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Forebyggelsesregistret/TYP,NA
AKM,VERSION,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-faelles-variable/VERSION,NA
AKM,VIRKF,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/VIRKF,NA
AKM,VIRKFA,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/VIRKFA,NA
AKM,VIRKF_13,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/VIRKF-13,NA
BEF,ADRESSE_ID,Bopælsadresse_id,198512,202003,NA,NA
BEF,AEGTE_ID,Ægtefælle ID,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/CPR-oplysninger/AEGTE-ID,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/AEGTE-ID
BEF,ALDER,Alder pr. 1. januar.,198512,202003,NA,NA
BEF,ANTBOERNF,Antal børn i familien,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/CPR-oplysninger/ANTBOERNF,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Familier/ANTBOERNF
BEF,ANTBOERNH,Antal børn i husstanden,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/ANTBOERNH,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Husstande/ANTBOERNH
BEF,ANTEFAM,Antal E-familier i husstanden,198512,202003,NA,NA
BEF,ANTPERSF,Antal personer i familien,198512,202003,NA,NA
BEF,ANTPERSH,Antal personer i husstanden,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/ANTPERSH,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Husstande/ANTPERSH
BEF,BETALINGSKOM,Betalingskommune,198512,202003,NA,NA
BEF,BOP_VFRA,Dato for tilflytning/indvandring,198512,202003,NA,NA
BEF,CIVST,Civilstand,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/cpr-oplysninger/civst,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/CIVST
BEF,CIV_VFRA,Civilstandsdato,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/cpr-oplysninger/civ-vfra,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/CIV-VFRA
BEF,CPRTJEK,CPR-tjek,198512,202003,NA,NA
BEF,CPRTYPE,CPR-type,198512,202003,NA,NA
BEF,E_FAELLE_ID,E_fælle,198512,202003,NA,NA
BEF,FAMILIE_ID,Familiens identificerende nummer.,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/familieindkomst/familie-id,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Familier/FAMILIE-ID
BEF,FAMILIE_TYPE,Familietype,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/forebyggelsesregistret/familie-type,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Familier/FAMILIE-TYPE
BEF,FAM_KOEN,Køn for hovedpersonen i familien,198512,202003,NA,NA
BEF,FAR_ID,Faderens Person Id,198512,202003,NA,NA
BEF,FKIRK,Tilhørsforhold til folkekirken.,200412,202003,NA,NA
BEF,FM_MARK,Forældremarkering,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/FM-MARK,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/FMMARK
BEF,FOEDREG_KODE,Kode for personens fødselsregistreringssted.,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/cpr-oplysninger/foedreg-kode,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/FOEDREG-KODE
BEF,FOED_DAG,Fødselsdato,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/moduldata-for-befolkning-og-valg/foed-dag,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/FOED-DAG
BEF,FOERSTE_INDVANDRING,Første indvandringsdato,200412,202003,NA,NA
BEF,HUSTYPE,Husstandstype,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/moduldata-for-befolkning-og-valg/hustype,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Husstande/HUSTYPE
BEF,IE_TYPE,"Indvandrere, efterkommere , personer med dansk oprindelse",198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/cpr-oplysninger/ie-type,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Udlaendinge/IE-TYPE
BEF,KOEN,Køn,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/forebyggelsesregistret/koen,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/KOEN
BEF,KOM,Ingen label,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/KOM,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/KOM
BEF,MOR_ID,Moderens Person Id,198512,202003,NA,NA
BEF,OPHOLDMD_DK,Opholdstid i måneder,198512,202003,NA,NA
BEF,OPR_LAND,Oprindelsesland,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/cpr-oplysninger/opr-land,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Udlaendinge/OPR-LAND
BEF,PLADS,Familiestatus,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/forebyggelsesregistret/plads,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Familier/PLADS
BEF,PNR,Personnummer,198512,202003,https://www.dst.dk/da/Statistik/dokumentation/Times/Forskningsservice/PNR,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/PNR
BEF,REFERENCETID,Referencetidspunkt eller -periode,198512,202003,NA,NA
BEF,REG,Region,198512,202003,NA,NA
BEF,SENESTE_INDVANDRING,Seneste indvandringsdato,200412,202003,NA,NA
BEF,STATSB,Statsborgerskab,198512,202003,NA,NA
BEF,VAN_VTIL,Indvandringsdato,198512,200312,https://www.dst.dk/da/Statistik/dokumentation/Times/CPR-oplysninger/VAN-VTIL,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Indvandringer-til-Danmark/VAN-VTIL
BEF,VERSION,Moduldata version,200412,202003,NA,NA
BEF,ADRESSE_ID,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/CPR-oplysninger/ADRESSE-ID,NA
BEF,ALDER,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/moduldata-for-befolkning-og-valg/alder,NA
BEF,ANTEFAM,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/ANTEFAM,NA
BEF,ANTPERSF,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/ANTPERSF,NA
BEF,BOP_VFRA,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/moduldata-for-befolkning-og-valg/bop-vfra,NA
BEF,CPRTJEK,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/forskningsservice/cprtjek,NA
BEF,CPRTYPE,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/forskningsservice/cprtype,NA
BEF,E_FAELLE_ID,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/E-FAELLE-ID,NA
BEF,FAM_KOEN,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/FAM-KOEN,NA
BEF,FAR_ID,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/moduldata-for-befolkning-og-valg/far-id,NA
BEF,FOERSTE_INDVANDRING,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/FOERSTE-INDVANDRING,NA
BEF,MOR_ID,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/MOR-ID,NA
BEF,OPHOLDMD_DK,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/OPHOLDMD-DK,NA
BEF,REFERENCETID,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/REFERENCETID,NA
BEF,REG,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/fragt-og-krydstogtskibes-anloeb-af-stoerre-danske-havne/reg,NA
BEF,SENESTE_INDVANDRING,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/SENESTE-INDVANDRING,NA
BEF,STATSB,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/moduldata-for-befolkning-og-valg/statsb,NA
BEF,VERSION,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-faelles-variable/VERSION,NA
BYSTRB,BEBOELSE,Beboelse,2014,2020,NA,NA
BYSTRB,DSTKODE,Danmarks Statistik's løbenr. for et byområde,2006,2020,NA,NA
BYSTRB,DSTNAVN,DSt's stednavnsangivelse for et byområde (bebyggelse=/> 200 indbyggere),2006,2020,NA,NA
BYSTRB,FOLKETAL,Antal personer boende på adressen,2006,2020,NA,NA
BYSTRB,HUSSTANDE,Antal husstande boende på adressen,2007,2020,NA,NA
BYSTRB,KOM,Kommune,2006,2020,https://www.dst.dk/da/Statistik/dokumentation/Times/Moduldata-for-Befolkning-og-valg/KOM,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/KOM
BYSTRB,KOORDTYPE,Metode til hvordan koordinaterne er fundet,2006,2014,NA,NA
BYSTRB,OPGIKOM,Opgangsadresse i kommunen,2006,2020,NA,NA
BYSTRB,POSTNR,Postnummer,2006,2020,https://www.dst.dk/da/Statistik/dokumentation/Times/CPR-oplysninger/Grupperings-tabeller/POSTNR,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/POSTNR
BYSTRB,SOGNENR,Sognekode,2007,2020,NA,NA
BYSTRB,STORHED,Bystørrelse,2006,2020,NA,NA
BYSTRB,OPGIKOM,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/Forskningsservice/OPGIKOM,NA
BYSTRB,STORHED,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/CPR-oplysninger/Byopgoerelsen/STORHED,NA
DOD,ALDER_HAEND,Alder på hændelsestidspunkt,2019,2019,NA,NA
DOD,CPRTJEK,CPR-tjek,2019,2019,NA,NA
DOD,CPRTYPE,CPR-type,2019,2019,NA,NA
DOD,DODDATO,Dato for dødsfald,2019,2019,NA,NA
DOD,PNR,Personnummer,2019,2019,https://www.dst.dk/da/Statistik/dokumentation/Times/Forskningsservice/PNR,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/PNR
DOD,CPRTJEK,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/forskningsservice/cprtjek,NA
DOD,CPRTYPE,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/forskningsservice/cprtype,NA
DODSAASG,AAR,Ingen label,2018,2018,NA,NA
DODSAASG,CPRTJEK,CPR-tjek,2018,2018,NA,NA
DODSAASG,CPRTYPE,CPR-type,2018,2018,NA,NA
DODSAASG,C_BOPAMTF07,C_BOPAMTF07,2018,2018,NA,NA
DODSAASG,C_BOPKOM,C_BOPKOM,2018,2018,NA,NA
DODSAASG,C_BOPKOMF07,C_BOPKOMF07,2018,2018,NA,NA
DODSAASG,C_DODKOM,C_DODKOM,2018,2018,NA,NA
DODSAASG,C_DODREGION,C_DODREGION,2018,2018,NA,NA
DODSAASG,C_DODSMAADE,Dødsmåde,2018,2018,NA,NA
DODSAASG,C_DODSSTED,Dødssted,2018,2018,NA,NA
DODSAASG,C_DODTILGRUNDL_ACME,Tilgrundliggende dødsårsag ifølge ACME,2018,2018,NA,NA
DODSAASG,C_DOD_1A,C_DOD_1A,2018,2018,NA,NA
DODSAASG,C_DOD_1B,C_DOD_1B,2018,2018,NA,NA
DODSAASG,C_DOD_1C,C_DOD_1C,2018,2018,NA,NA
DODSAASG,C_DOD_1D,C_DOD_1D,2018,2018,NA,NA
DODSAASG,C_DOD_21,C_DOD_21,2018,2018,NA,NA
DODSAASG,C_DOD_22,C_DOD_22,2018,2018,NA,NA
DODSAASG,C_DOD_23,C_DOD_23,2018,2018,NA,NA
DODSAASG,C_DOD_24,C_DOD_24,2018,2018,NA,NA
DODSAASG,C_DOD_25,C_DOD_25,2018,2018,NA,NA
DODSAASG,C_DOD_26,C_DOD_26,2018,2018,NA,NA
DODSAASG,C_DOD_27,C_DOD_27,2018,2018,NA,NA
DODSAASG,C_DOD_28,C_DOD_28,2018,2018,NA,NA
DODSAASG,C_FINDESTED,Findested,2018,2018,NA,NA
DODSAASG,C_HAENDELSESSTED,C_HAENDELSESSTED,2018,2018,NA,NA
DODSAASG,C_LAEGEFUNKTION,C_LAEGEFUNKTION,2018,2018,NA,NA
DODSAASG,C_LISTE14,"Diagnosegruppe, 14-listen",2018,2018,NA,NA
DODSAASG,C_LISTE49,"Diagnosegruppe, 49-listen",2018,2018,NA,NA
DODSAASG,C_LISTEA,C_LISTEA,2018,2018,NA,NA
DODSAASG,C_LISTEB,C_LISTEB,2018,2018,NA,NA
DODSAASG,C_OBDUKTION,C_OBDUKTION,2018,2018,NA,NA
DODSAASG,C_OPERATION,C_OPERATION,2018,2018,NA,NA
DODSAASG,C_PRAECIS_DODSSTED,C_PRAECIS_DODSSTED,2018,2018,NA,NA
DODSAASG,C_PRAECIS_FINDESTED,C_PRAECIS_FINDESTED,2018,2018,NA,NA
DODSAASG,C_REGION,C_REGION,2018,2018,NA,NA
DODSAASG,C_SEX,C_SEX,2018,2018,NA,NA
DODSAASG,D_DODSDATO,D_DODSDATO,2018,2018,NA,NA
DODSAASG,D_FINDEDATO,D_FINDEDATO,2018,2018,NA,NA
DODSAASG,D_STATDATO,D_STATDATO,2018,2018,NA,NA
DODSAASG,PNR,Personnummer,2018,2018,https://www.dst.dk/da/Statistik/dokumentation/Times/Forskningsservice/PNR,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Folketal/PNR
DODSAASG,V_ALDER,V_ALDER,2018,2018,NA,NA
DODSAASG,CPRTJEK,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/forskningsservice/cprtjek,NA
DODSAASG,CPRTYPE,NA,NA,NA,https://www.dst.dk/da/Statistik/dokumentation/Times/forskningsservice/cprtype,NA
FAHU,ALDALDPH,Alder for ældste person i husstanden,1980,2007,NA,NA
FAHU,ALDYNGPH,Alder for yngste person i husstanden,1980,2007,NA,NA
