register_id,variable_name,description_dk,description_english
BEF,ADRESSE_ID,Bopælsadresse_id,Residence address_id
BEF,AEGTE_ID,Ægtefælle ID,Spouse ID
BEF,ALDER,Alder pr. 1. januar.,Age per 1st of January.
BEF,ANTBOERNF,Antal børn i familien,Number of children in the family
BEF,ANTBOERNH,Antal børn i husstanden,Number of children in the household
BEF,ANTEFAM,Antal E-familier i husstanden,Number of E-families in the household
BEF,ANTPERSF,Antal personer i familien,Number of people in the family
BEF,ANTPERSH,Antal personer i husstanden,Number of persons in the household
BEF,BETALINGSKOM,Betalingskommune,Payment municipality
BEF,BOP_VFRA,Dato for tilflytning/indvandring,Date of move-in / immigration
BEF,CIVST,Civilstand,Marital status
BEF,CIV_VFRA,Civilstandsdato,Marital status date
BEF,CPRTJEK,CPR-tjek,CPR check
BEF,CPRTYPE,CPR-type,CPR type
BEF,E_FAELLE_ID,E_fælle,E_common
BEF,FAMILIE_ID,Familiens identificerende nummer.,Family identification number.
BEF,FAMILIE_TYPE,Familietype,Family type
BEF,FAM_KOEN,Køn for hovedpersonen i familien,Gender for the main character in the family
BEF,FAR_ID,Faderens Person Id,Father's Person Id
BEF,FKIRK,Tilhørsforhold til folkekirken.,Belonging to the Danish National Church.
BEF,FM_MARK,Forældremarkering,Parental marking
BEF,FOEDREG_KODE,Kode for personens fødselsregistreringssted.,Code of the person's place of birth.
BEF,FOED_DAG,Fødselsdato,Date of birth
BEF,FOERSTE_INDVANDRING,Første indvandringsdato,First date of immigration
BEF,HUSTYPE,Husstandstype,Household type
BEF,IE_TYPE,"Indvandrere, efterkommere , personer med dansk oprindelse","Immigrants, descendants, persons of Danish origin"
BEF,KOEN,Køn,Sex
BEF,KOM,Ingen label,No label
BEF,MOR_ID,Moderens Person Id,Mother's Person Id
BEF,OPHOLDMD_DK,Opholdstid i måneder,Residence time in months
BEF,OPR_LAND,Oprindelsesland,Country of origin
BEF,PLADS,Familiestatus,Family status
BEF,PNR,Personnummer,Social security number
BEF,REFERENCETID,Referencetidspunkt eller -periode,Reference time or period
BEF,REG,Region,Region
BEF,SENESTE_INDVANDRING,Seneste indvandringsdato,Latest immigration date
BEF,STATSB,Statsborgerskab,Citizenship
BEF,VAN_VTIL,Indvandringsdato,Date of immigration
BEF,VERSION,Moduldata version,Modular data version
BEF,ADRESSE_ID,,
BEF,ALDER,,
BEF,ANTEFAM,,
BEF,ANTPERSF,,
BEF,BOP_VFRA,,
BEF,CPRTJEK,,
BEF,CPRTYPE,,
BEF,E_FAELLE_ID,,
BEF,FAM_KOEN,,
BEF,FAR_ID,,
BEF,FOERSTE_INDVANDRING,,
BEF,MOR_ID,,
BEF,OPHOLDMD_DK,,
BEF,REFERENCETID,,
BEF,REG,,
BEF,SENESTE_INDVANDRING,,
BEF,STATSB,,
BEF,VERSION,,
BYSTRB,BEBOELSE,Beboelse,Residential
BYSTRB,DSTKODE,Danmarks Statistik's løbenr. for et byområde,Statistics Denmark's serial no. for an urban area
BYSTRB,DSTNAVN,DSt's stednavnsangivelse for et byområde (bebyggelse=/> 200 indbyggere),DSt's place name for an urban area (buildings = /> 200 inhabitants)
BYSTRB,FOLKETAL,Antal personer boende på adressen,Number of people living at the address
BYSTRB,HUSSTANDE,Antal husstande boende på adressen,Number of households living at the address
BYSTRB,KOM,Kommune,commune
BYSTRB,KOORDTYPE,Metode til hvordan koordinaterne er fundet,Method for how the coordinates are found
BYSTRB,OPGIKOM,Opgangsadresse i kommunen,Boarding address in the municipality
BYSTRB,POSTNR,Postnummer,Zip code
BYSTRB,SOGNENR,Sognekode,Parish code
BYSTRB,STORHED,Bystørrelse,City size
BYSTRB,OPGIKOM,,
BYSTRB,STORHED,,
DOD,ALDER_HAEND,Alder på hændelsestidspunkt,Age at time of event
DOD,CPRTJEK,CPR-tjek,CPR check
DOD,CPRTYPE,CPR-type,CPR type
DOD,DODDATO,Dato for dødsfald,Date of death
DOD,PNR,Personnummer,Social security number
DOD,CPRTJEK,,
DOD,CPRTYPE,,
DODSAASG,AAR,Ingen label,No label
DODSAASG,CPRTJEK,CPR-tjek,CPR check
DODSAASG,CPRTYPE,CPR-type,CPR type
DODSAASG,C_BOPAMTF07,C_BOPAMTF07,C_BOPAMTF07
DODSAASG,C_BOPKOM,C_BOPKOM,C_BOPKOM
DODSAASG,C_BOPKOMF07,C_BOPKOMF07,C_BOPKOMF07
DODSAASG,C_DODKOM,C_DODKOM,C_DODKOM
DODSAASG,C_DODREGION,C_DODREGION,C_DODREGION
DODSAASG,C_DODSMAADE,Dødsmåde,Mode of death
DODSAASG,C_DODSSTED,Dødssted,Place of death
DODSAASG,C_DODTILGRUNDL_ACME,Tilgrundliggende dødsårsag ifølge ACME,Underlying cause of death according to ACME
DODSAASG,C_DOD_1A,C_DOD_1A,C_DOD_1A
DODSAASG,C_DOD_1B,C_DOD_1B,C_DOD_1B
DODSAASG,C_DOD_1C,C_DOD_1C,C_DOD_1C
DODSAASG,C_DOD_1D,C_DOD_1D,C_DOD_1D
DODSAASG,C_DOD_21,C_DOD_21,C_DOD_21
DODSAASG,C_DOD_22,C_DOD_22,C_DOD_22
DODSAASG,C_DOD_23,C_DOD_23,C_DOD_23
DODSAASG,C_DOD_24,C_DOD_24,C_DOD_24
DODSAASG,C_DOD_25,C_DOD_25,C_DOD_25
DODSAASG,C_DOD_26,C_DOD_26,C_DOD_26
DODSAASG,C_DOD_27,C_DOD_27,C_DOD_27
DODSAASG,C_DOD_28,C_DOD_28,C_DOD_28
DODSAASG,C_FINDESTED,Findested,Take place
DODSAASG,C_HAENDELSESSTED,C_HAENDELSESSTED,C_EVENTION PLACE
DODSAASG,C_LAEGEFUNKTION,C_LAEGEFUNKTION,C_LAYFUNCTION
DODSAASG,C_LISTE14,"Diagnosegruppe, 14-listen","Diagnostic group, 14-list"
DODSAASG,C_LISTE49,"Diagnosegruppe, 49-listen","Diagnostic group, 49-list"
DODSAASG,C_LISTEA,C_LISTEA,C_LISTEA
DODSAASG,C_LISTEB,C_LISTEB,C_LISTEB
DODSAASG,C_OBDUKTION,C_OBDUKTION,C_OBDUKTION
DODSAASG,C_OPERATION,C_OPERATION,C_OPERATION
DODSAASG,C_PRAECIS_DODSSTED,C_PRAECIS_DODSSTED,C_PRAECIS_DODSSTED
DODSAASG,C_PRAECIS_FINDESTED,C_PRAECIS_FINDESTED,C_PRAECIS_FINDESTED
DODSAASG,C_REGION,C_REGION,C_REGION
DODSAASG,C_SEX,C_SEX,C_SEX
DODSAASG,D_DODSDATO,D_DODSDATO,D_DODSDATO
DODSAASG,D_FINDEDATO,D_FINDEDATO,D_FINDEDATO
DODSAASG,D_STATDATO,D_STATDATO,D_STATDATE
DODSAASG,PNR,Personnummer,Social security number
DODSAASG,V_ALDER,V_ALDER,V_ALDER
DODSAASG,CPRTJEK,,
DODSAASG,CPRTYPE,,
FAHU,ALDALDPH,Alder for ældste person i husstanden,Age of oldest person in the household
FAHU,ALDYNGPH,Alder for yngste person i husstanden,Age of youngest person in the household
FAHU,ANTBRNH,Antal børn i husstanden,Number of children in the household
FAHU,ANTCFAM,Antal C-familier,Number of C-families
FAHU,ANTH00,Antal 0-årige personer i husstanden,Number of 0-year-old persons in the household
FAHU,ANTH01,Antal 1-årige personer i husstanden,Number of 1-year-old persons in the household
FAHU,ANTH02,Antal 2-årige personer i husstanden,Number of 2-year-olds in the household
FAHU,ANTH03,Antal 3-årige personer i husstanden,Number of 3-year-olds in the household
FAHU,ANTH04,Antal 4-årige personer i husstanden,Number of 4-year-olds in the household
FAHU,ANTH05,Antal 5-årige personer i husstanden,Number of 5-year-olds in the household
FAHU,ANTH06,Antal 6-årige personer i husstanden,Number of 6-year-olds in the household
FAHU,ANTH07,Antal 7-årige personer i husstanden,Number of 7-year-olds in the household
FAHU,ANTH08,Antal 8-årige personer i husstanden,Number of 8-year-olds in the household
FAHU,ANTH09,Antal 9-årige personer i husstanden,Number of 9-year-olds in the household
FAHU,ANTH10,Antal 10-årige personer i husstanden,Number of 10-year-olds in the household
FAHU,ANTH11,Antal 11-årige personer i husstanden,Number of 11-year-olds in the household
FAHU,ANTH12,Antal 12-årige personer i husstanden,Number of 12-year-olds in the household
FAHU,ANTH13,Antal 13-årige personer i husstanden,Number of 13-year-olds in the household
FAHU,ANTH14,Antal 14-årige personer i husstanden,Number of 14-year-olds in the household
FAHU,ANTH15,Antal 15-årige personer i husstanden,Number of 15-year-olds in the household
FAHU,ANTH16,Antal 16-årige personer i husstanden,Number of 16-year-olds in the household
FAHU,ANTH17,Antal 17-årige personer i husstanden,Number of 17-year-olds in the household
FAHU,ANTH1819,Antal 18-19-årige personer i husstanden,Number of 18-19-year-olds in the household
FAHU,ANTH2029,Antal 20-29-årige personer i husstanden,Number of 20-29-year-olds in the household
FAHU,ANTH3039,Antal 30-39-årige personer i husstanden,Number of 30-39-year-olds in the household
FAHU,ANTH4049,Antal 40-49-årige personer i husstanden,Number of 40-49-year-olds in the household
FAHU,ANTH5059,Antal 50-59-årige personer i husstanden,Number of 50-59-year-olds in the household
FAHU,ANTH6069,Antal 60-69-årige personer i husstanden,Number of 60-69-year-olds in the household
FAHU,ANTH70,Antal 70-og derover-årige personer i hus,Number of 70-year-olds and over persons in house
FAHU,ANTPERH,Antal personer i husstanden,Number of persons in the household
FAHU,ANTVOKSH,Antal voksne personer i husstanden,Number of adults in the household
FAHU,BOPIKOM,"Adressen (vej, husnummer, husbogstav, etage, side/dørnummer)","Address (road, house number, house letter, floor, side / door number)"
FAHU,D_ANT_FAM,Antal D-familier i husstanden,Number of D families in the household
FAHU,FHART,Fælleshusstandsart,Communal household type
FAHU,HUSTYPE,Husstandstype,Household type
FAHU,KOM,Kommune,commune
FAHU,KONALDH,KØN på ældste person i husstanden,SEX of oldest person in the household
FAHU,BOPIKOM,,
FAIK,FAMAEKVIVADISP,Ækvivaleret disponibel indkomst for familien,Equivalent disposable income for the family
FAIK,FAMAEKVIVADISP_13,Ækvivaleret disponibel indkomst for familien,Equivalent disposable income for the family
FAIK,FAMAEKVIVAINDKNETTO,Ækvivaleret samlet indkomst med nettorenter for familien,Equivalent total income with net interest for the family
FAIK,FAMAKTIEINDK,Aktieindkomster,Share income
FAIK,FAMANDENPENSION,Andre pensionsudbetalinger til familien,Other pension payments to the family
FAIK,FAMANDOVERFORSEL,Andre overførsler til familien,Other transfers to the family
FAIK,FAMANTALFSKATTEPLIGTIGE,Antal fuldt skattepligtige voksne i familien,Number of fully taxable adults in the family
FAIK,FAMARBEJDSLOESP,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse for familien,Unemployment benefits and education allowance for the family
FAIK,FAMARBMABIDRAG,Arbejdsmarkedsbidrag mv,"Labor market contributions, etc."
FAIK,FAMBOERNETILSKUD,Børnetilskud og familieydelser til familien,Child allowance and family benefits for the family
FAIK,FAMBOLIGFORM,Familiens boligform,Family form of housing
FAIK,FAMBOLIGSTOETTE,Boligstøtte udbetalt til familien,Housing allowance paid to the family
FAIK,FAMBOLIGTYPE,Familiens boligtype,Family housing type
FAIK,FAMBRUTTOINDK,Bruttoindkomst for familien,Gross income for the family
FAIK,FAMDAGPENGE_KONTANT_13,Familiens samlede dagpenge og kontanthjælp,The family's total unemployment benefits and cash benefits
FAIK,FAMDISPONIBEL,Diponibel indkomst for familien,Disposable income for the family
FAIK,FAMDISPONIBEL_13,Disponibel indkomst,Disposable income
FAIK,FAMEFTERLOEN,Efterløn,Early retirement pay
FAIK,FAMEJDSKAT_EJERBOLIG,Ejendomsskat for boligejere,Property tax for homeowners
FAIK,FAMEJDSKAT_LEJERBOLIG,Ejendomsskat for lejere,Property tax for tenants
FAIK,FAMEJENDOMSVURDERING,Kontant ejendomsværdi,Cash property value
FAIK,FAMERHVERVSINDK,Erhversindkomst for familien,Business income for the family
FAIK,FAMERHVERVSINDK_13,"Erhvervsindkomst, løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer","Business income, salary and net profit of self-employment including certain fees"
FAIK,FAMFOLKEFORTID_13,Folke- og førtidspension i familien,National and early retirement pension in the family
FAIK,FAMFORMREST_NY05,"Familiens nettorestformue ultimo året, ekskl. Pensionsformuer","The family's net residual assets at the end of the year, excluding pension assets"
FAIK,FAMFORMUEAKTIVER,Familiens samlede aktiver,The family's total assets
FAIK,FAMFORMUEINDK,Formueindkomst i alt for familien,Total property income for the family
FAIK,FAMFORMUEINDK_BRUTTO,Formueindkomst. brutto i familien,Property income. gross in the family
FAIK,FAMFRADRAGIALT,Samlet beregnet fradrag for familien,Total calculated deduction for the family
FAIK,FAMFRYNSEGODER,Skattmæssig værdi af frynsegoderne i familien,Tax value of the perks in the family
FAIK,FAMGAELDIALT,Familiens passiver,Family liabilities
FAIK,FAMGRON_CHECK,Grøn check,Green check
FAIK,FAMHOEJSTUDDA,Højeste uddannelse for de voksne i familien,Highest education for the adults in the family
FAIK,FAMHONNY,AMB. pligtige honorarer,AMB. mandatory fees
FAIK,FAMILIE_ID,Familiens identificerende nummer.,Family identification number.
FAIK,FAMINDKOMSTIALT,Familieindkomst i alt før skat,Total family income before tax
FAIK,FAMINDKOMSTIALT_13,"Indkomst i alt, før skatter mv.","Total income before taxes, etc."
FAIK,FAMKONTANTHJAELP,Kontanthjælp for familien,Cash benefits for the family
FAIK,FAMKONTANTHJAELP_13,Kontant hjælp i familien,Cash help in the family
FAIK,FAMLEJEVAERDI,beregnet lejeværdi af egen bolig for familien,calculated rental value of own home for the family
FAIK,FAMLEJEV_EGEN_BOLIG,Beregnet lejeværdi af egen bolig,Calculated rental value of own home
FAIK,FAMLOENMV,Lønindkomst i alt i familien,Total wage income in the family
FAIK,FAMLOENMV_13,Lønindkomst i alt i familien,Total wage income in the family
FAIK,FAMMIDLERTIDYD,Midlertidige overførselsindkomster,Temporary transfer income
FAIK,FAMOEVRIGFORMUE,Anden formueindkomst for familien,Second property income for the family
FAIK,FAMOEVRIGFORMUE_13,Øvrige formueindkomster i familien (aktieindkomst mv.),"Other property income in the family (share income, etc.)"
FAIK,FAMOFFPENS_EFTLON_13,Offentlige pensioner i familien,Public pensions in the family
FAIK,FAMOFF_OVERFORSEL_13,Familiens offentlige overførsler,Family public transfers
FAIK,FAMORLOVSYDELSE,Orlovsydelser udbetalt til familien,Leave benefits paid to the family
FAIK,FAMOVERFOERINDK,Familiens samlede overførselsindkomster,The family's total transfer income
FAIK,FAMOVERGANGYD,Familiens samledeoOvergangsydelse,Family total transitional benefit
FAIK,FAMOVRIG_DAGPENGE_AKAS_13,Øvrige dagpenge fra A-kasser,Other unemployment benefits from unemployment insurance funds
FAIK,FAMOVRIG_KONTANTHJALP_13,"Familiens samlede Aktiverings-, ledigheds- og revalideringsydelse","Family Total Activation, Unemployment and Rehabilitation Benefit"
FAIK,FAMOVRIG_OVERFORSEL_13,Øvrige overførselsindkomster i familien,Other transfer income in the family
FAIK,FAMPENSIONATP,Pensionsudbetaling fra ATP for familien,Pension payment from ATP for the family
FAIK,FAMPENSIONIALT,Pensioner i alt for familien,Total pensions for the family
FAIK,FAMPENSOFFENTLIG,Folke- og førtidspension for familien,National and early retirement pension for the family
FAIK,FAMPENSTJENESTE,Tjenestemandspension for familien,Civil servant pension for the family
FAIK,FAMPRIVAT_PENSION_13,Private pensioner i familien,Private pensions in the family
FAIK,FAMRENTEINDK,Samlede renteindtægter fra Danmark for familien,Total interest income from Denmark for the family
FAIK,FAMRENTEINDK_13,Familiens samlede skattepligtige renteindtægter fra Danmark undtagen renteindtægt i selvstændig virksomhed,The family's total taxable interest income from Denmark except interest income in self-employment
FAIK,FAMRENTEUDGIFTER,Samlede fradragsberettigede renteudgifter for familien,Total deductible interest expenses for the family
FAIK,FAMRENTEUDGIFTER_13,"Renteudgifter, ekskl. renteudgifter fra udlandet og ekskl. renteudgifter i selvstændig virksomhed","Interest expenses, excluding interest expenses from abroad and excluding interest expenses in self-employment"
FAIK,FAMRESTBISTANDSYD,Andre ydelser fra kommuuner og A-kasser udbetalt til familien,Other benefits from municipalities and unemployment insurance funds paid to the family
FAIK,FAMRESTINDK,Diverse indkomster som ikke direkte kan klassificeres i hovedgrupperne,Miscellaneous income that cannot be directly classified in the main groups
FAIK,FAMRESTINDK_13,Anden personlig indkomst i familien,Other personal income in the family
FAIK,FAMSAMLETINDK,Samlet indkomst for familien,Total income for the family
FAIK,FAMSKATFRIYD,Skattefrie indkomster i familien,Tax-free income in the family
FAIK,FAMSKATMVIALT,Skat og arbejdsmarkedsbidrag betalt af familien,Taxes and labor contributions paid by the family
FAIK,FAMSKATMVIALT_13,"Skat, arbejdsmarkedsbidrag og særlig pension i alt. ekskl. kirkeskat","Tax, labor market contributions and special pension in total, excluding church tax"
FAIK,FAMSKATPLIGTINDK,Skattepligtig indkomst for familien,Taxable income for the family
FAIK,FAMSKATTOT,Samlet indkomstskat betalt af familien,Total income tax paid by the family
FAIK,FAMSKATTOT_13,Samlet personlig slutskat for en skatteyder inkl. udenlandsk betalt skat. Ekskl. kirkeskat,Total personal final tax for a taxpayer incl. foreign tax paid. Excl. church tax
FAIK,FAMSOCIOGRUP,Familiens socioøkonomiske gruppe,The family's socio-economic group
FAIK,FAMSOCIOGRUP_13,Familiens socioøkonomiske gruppe Def13,The family's socio-economic group Def13
FAIK,FAMSU,Stipendier fra Statens Uddannelsesstøtte - SU udbetalt til familien,Scholarships from Statens Uddannelsesstøtte - SU paid to the family
FAIK,FAMSUMINDKNETTORENT,Samlet indkomst med nettorenter for familien,Total income with net interest for the family
FAIK,FAMSYG_BARSEL_13,Familiens syge- og barselsdagpenge ekskl. refusion til arbejdsgiver.,The family's sickness and maternity benefits excl. reimbursement to employer.
FAIK,FAMTRANSPORTFRADRAG,Samlet befordringsfradrag i familien,Total transportation deduction in the family
FAIK,FAMTYPE,familietype,family type
FAIK,FAMUNDERHBIDRAG,Underholdsbidrag betalt af familien,Maintenance paid by the family
FAIK,FAMVIRKORDIND,Familiens samlede beløb indsat i virksomhedsordningerne netto (speciel ordning for selvstændige og kunstnere),The total amount of the family invested in the company schemes net (special scheme for the self-employed and artists)
FAIK,FAMVIRKOVERSKUD,nettooverskud af selvstændig virksomhed for familien,net profit of self-employment for the family
FAIK,FAMVIRKOVERSKUD_13,Familiens samlede overskud af selvstændig virksomhed efter virksomhedens renteudgifter,The family's total profit of self-employment after the company's interest expenses
FAIK,VERSION,Version,Version
FAIK,FAMAEKVIVADISP_13,,
FAIK,FAMAKTIEINDK,,
FAIK,FAMANDENPENSION,,
FAIK,FAMANTALFSKATTEPLIGTIGE,,
FAIK,FAMARBEJDSLOESP,,
FAIK,FAMARBMABIDRAG,,
FAIK,FAMBOERNETILSKUD,,
FAIK,FAMBOLIGFORM,,
FAIK,FAMBOLIGSTOETTE,,
FAIK,FAMBOLIGTYPE,,
FAIK,FAMBRUTTOINDK,,
FAIK,FAMDAGPENGE_KONTANT_13,,
FAIK,FAMDISPONIBEL_13,,
FAIK,FAMEFTERLOEN,,
FAIK,FAMEJDSKAT_EJERBOLIG,,
FAIK,FAMEJDSKAT_LEJERBOLIG,,
FAIK,FAMEJENDOMSVURDERING,,
FAIK,FAMERHVERVSINDK_13,,
FAIK,FAMFOLKEFORTID_13,,
FAIK,FAMFORMREST_NY05,,
FAIK,FAMFORMUEAKTIVER,,
FAIK,FAMFORMUEINDK_BRUTTO,,
FAIK,FAMFRYNSEGODER,,
FAIK,FAMGAELDIALT,,
FAIK,FAMGRON_CHECK,,
FAIK,FAMHOEJSTUDDA,,
FAIK,FAMHONNY,,
FAIK,FAMINDKOMSTIALT_13,,
FAIK,FAMKONTANTHJAELP,,
FAIK,FAMKONTANTHJAELP_13,,
FAIK,FAMLEJEV_EGEN_BOLIG,,
FAIK,FAMLOENMV_13,,
FAIK,FAMOEVRIGFORMUE,,
FAIK,FAMOEVRIGFORMUE_13,,
FAIK,FAMOFFPENS_EFTLON_13,,
FAIK,FAMOFF_OVERFORSEL_13,,
FAIK,FAMORLOVSYDELSE,,
FAIK,FAMOVERGANGYD,,
FAIK,FAMOVRIG_DAGPENGE_AKAS_13,,
FAIK,FAMOVRIG_KONTANTHJALP_13,,
FAIK,FAMOVRIG_OVERFORSEL_13,,
FAIK,FAMPENSIONATP,,
FAIK,FAMPENSOFFENTLIG,,
FAIK,FAMPENSTJENESTE,,
FAIK,FAMPRIVAT_PENSION_13,,
FAIK,FAMRENTEINDK,,
FAIK,FAMRENTEINDK_13,,
FAIK,FAMRENTEUDGIFTER_13,,
FAIK,FAMRESTBISTANDSYD,,
FAIK,FAMRESTINDK_13,,
FAIK,FAMSAMLETINDK,,
FAIK,FAMSKATMVIALT_13,,
FAIK,FAMSKATPLIGTINDK,,
FAIK,FAMSKATTOT,,
FAIK,FAMSKATTOT_13,,
FAIK,FAMSOCIOGRUP,,
FAIK,FAMSOCIOGRUP_13,,
FAIK,FAMSU,,
FAIK,FAMSYG_BARSEL_13,,
FAIK,FAMTRANSPORTFRADRAG,,
FAIK,FAMUNDERHBIDRAG,,
FAIK,FAMVIRKORDIND,,
FAIK,FAMVIRKOVERSKUD,,
FAIK,FAMVIRKOVERSKUD_13,,
FAIK,VERSION,,
FAIN,ADRDATO,Tilflytningsdato til adressen,Relocation date to the address
FAIN,AEGTEFAELLE_ID,Ægtefælle Person Id,Spouse Person Id
FAIN,ALDER,Alder pr. 1. januar.,Age per 1st of January.
FAIN,A_FAMILIE_ID,A-familie Id,A-family Id
FAIN,A_STATUS,A-familie status,A-family status
FAIN,A_TYPE,A-familietype,A-family type
