use_in_application,reason_for_use,register_name,table_name,variable_name,variable_description,periode,known_data_break_changes,kendte_databrud_aendringer,variablebeskrivelse
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_1,c_dod3,Supplementary cause of death.,1970-2001,,,Supplerende årsag til dødsfaldet.
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_1,c_dod4,Supplementary cause of death.,1970-2001,,,Supplerende årsag til dødsfaldet.
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_1,c_liste_14,,1970-2001,,,
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_1,c_liste_49,,1970-2001,,,
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_1,c_liste_65,,1970-2001,,,
1,Maybe? Seems its needed based on others applications,Dødsårsagsregisteret,t_dodsaarsag_1,c_dodsmaade,,1970-2001,,,
1,An approximate indicator for potentially higher trauma experienced from parental death if death occurred close to child's residence.,Dødsårsagsregisteret,t_dodsaarsag_1,c_dodskom,Death municipality use the variable c_drg.,1970-2001,,,Dødskommune
1,An approximate indicator for potentially higher trauma experienced from parental death if death occurred close to child's residence.,Dødsårsagsregisteret,t_dodsaarsag_1,c_dodskom,Death municipality use the variable c_drg.,1971-2001,,,Dødskommune
1,Maybe? Seems its needed based on others applications,Dødsårsagsregisteret,t_dodsaarsag_1,c_handsted,Describes where the person passed away in the case of an unnatural death.,1970-2001,,,Beskriver hvor vedkommende bortgik såfremt der er tale om en unaturlig død.
1,Maybe? Seems its needed based on others applications,Dødsårsagsregisteret,t_dodsaarsag_1,c_handsted,Describes where the person passed away in the case of an unnatural death.,1971-2001,,,Beskriver hvor vedkommende bortgik såfremt der er tale om en unaturlig død.
1,To link to other registries and data sources.,Dødsårsagsregisteret,t_dodsaarsag_1,v_pid,The person's encrypted CPR number.,1970-2001,,,Vedkommendes krypteret CPR nummer.
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_1a,"The code indicates the contributing cause of death for the death, ie the disease that contributed to the immediate cause of death.",2002-,"The code rules are updated at regular intervals and data breaks have occurred for some specific codes, such as in group B-097 (accidents during surgical and medical treatment), where the coding was changed from 2007 and for group B-098 (other accidents ) where the coding was changed in 2000.","Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder, som fx i gruppen B-097 (uheld under kirurgisk og medicinsk behandling), hvor kodningen blev ændret fra 2007 og for gruppe B-098 (andre ulykker) hvor kodningen blev ændret i 2000.","Koden angiver den medvirkende dødsårsag for dødsfaldet, dvs. den sygdom, der var med til at føre til den umiddelbare dødsårsag."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_1b,"The code indicates the contributing cause of death for the death, ie the disease that contributed to the immediate cause of death.",2002-,"The code rules are updated at regular intervals and data breaks have occurred for some specific codes, such as in group B-097 (accidents during surgical and medical treatment), where the coding was changed from 2007 and for group B-098 (other accidents ) where the coding was changed in 2000.","Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder, som fx i gruppen B-097 (uheld under kirurgisk og medicinsk behandling), hvor kodningen blev ændret fra 2007 og for gruppe B-098 (andre ulykker) hvor kodningen blev ændret i 2000.","Koden angiver den medvirkende dødsårsag for dødsfaldet, dvs. den sygdom, der var med til at føre til den umiddelbare dødsårsag."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_1c,"The code indicates the contributing cause of death for the death, ie the disease that contributed to the immediate cause of death.",2002-,"The code rules are updated at regular intervals and data breaks have occurred for some specific codes, such as in group B-097 (accidents during surgical and medical treatment), where the coding was changed from 2007 and for group B-098 (other accidents ) where the coding was changed in 2000.","Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder, som fx i gruppen B-097 (uheld under kirurgisk og medicinsk behandling), hvor kodningen blev ændret fra 2007 og for gruppe B-098 (andre ulykker) hvor kodningen blev ændret i 2000.","Koden angiver den medvirkende dødsårsag for dødsfaldet, dvs. den sygdom, der var med til at føre til den umiddelbare dødsårsag."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_1d,The underlying cause of death is the illness or injury that initiates a sequence of illnesses or events that directly lead to the immediate cause of death - or the circumstances surrounding an accident or violence that caused the fatal injury. it is formed on the basis of the diagnoses from LPR. Determined by the DRG group.,2002-,"The code rules are updated at regular intervals and data breaks have occurred for some specific codes, such as in group B-097 (accidents during surgical and medical treatment), where the coding was changed from 2007 and for group B-098 (other accidents ) where the coding was changed in 2000.","Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder, som fx i gruppen B-097 (uheld under kirurgisk og medicinsk behandling), hvor kodningen blev ændret fra 2007 og for gruppe B-098 (andre ulykker) hvor kodningen blev ændret i 2000.","Den tilgrundliggende dødsårsag er den sygdom eller skade, der starter en sekvens af sygdomme eller begivenheder, der direkte fører til den umiddelbare dødsårsag – eller de omstændigheder omkring en ulykke eller vold, som forårsagede den dødelige skade."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_21,"The code indicates a contributing cause of death for the death. These may be morbid conditions which have impaired the person's resilience and indirectly accelerated the course of the disease, or abuse or damage which may have contributed to the death without being directly included in the main course of death. led to death.",2002-,The code rules are updated at regular intervals and data breaks have occurred for some specific codes.,Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder.,"Koden angiver en medvirkende dødsårsag for dødsfaldet. Dette kan være sygelige tilstande, som har forringet personens modstandskraft og indirekte fremskyndet sygdomsforløbet, eller misbrug eller skader, der kan have bidraget til dødsfaldet, uden direkte at indgå i det hovedforløb, der førte til døden."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_22,"The code indicates a contributing cause of death for the death. These may be morbid conditions which have impaired the person's resilience and indirectly accelerated the course of the disease, or abuse or damage which may have contributed to the death without being directly included in the main course of death. led to death.",2002-,The code rules are updated at regular intervals and data breaks have occurred for some specific codes.,Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder.,"Koden angiver en medvirkende dødsårsag for dødsfaldet. Dette kan være sygelige tilstande, som har forringet personens modstandskraft og indirekte fremskyndet sygdomsforløbet, eller misbrug eller skader, der kan have bidraget til dødsfaldet, uden direkte at indgå i det hovedforløb, der førte til døden."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_23,"The code indicates a contributing cause of death for the death. These may be morbid conditions which have impaired the person's resilience and indirectly accelerated the course of the disease, or abuse or damage which may have contributed to the death without being directly included in the main course of death. led to death.",2002-,The code rules are updated at regular intervals and data breaks have occurred for some specific codes,Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder,"Koden angiver en medvirkende dødsårsag for dødsfaldet. Dette kan være sygelige tilstande, som har forringet personens modstandskraft og indirekte fremskyndet sygdomsforløbet, eller misbrug eller skader, der kan have bidraget til dødsfaldet, uden direkte at indgå i det hovedforløb, der førte til døden."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_24,"The code indicates a contributing cause of death for the death. These may be morbid conditions which have impaired the person's resilience and indirectly accelerated the course of the disease, or abuse or damage which may have contributed to the death without being directly included in the main course of death. led to death.",2002-,The code rules are updated at regular intervals and data breaks have occurred for some specific codes.,Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder.,"Koden angiver en medvirkende dødsårsag for dødsfaldet. Dette kan være sygelige tilstande, som har forringet personens modstandskraft og indirekte fremskyndet sygdomsforløbet, eller misbrug eller skader, der kan have bidraget til dødsfaldet, uden direkte at indgå i det hovedforløb, der førte til døden."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_25,"The code indicates a contributing cause of death for the death. These may be morbid conditions which have impaired the person's resilience and indirectly accelerated the course of the disease, or abuse or damage which may have contributed to the death without being directly included in the main course of death. led to death.",2002-,The code rules are updated at regular intervals and data breaks have occurred for some specific codes. The code exists only for the year 2002 with 80 observations and for the year 2005 with 295 observations.,Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder.Koden eksisterer kun for år 2002 med 80 observationer og for år 2005 med 295 observationer.,"Koden angiver en medvirkende dødsårsag for dødsfaldet. Dette kan være sygelige tilstande, som har forringet personens modstandskraft og indirekte fremskyndet sygdomsforløbet, eller misbrug eller skader, der kan have bidraget til dødsfaldet, uden direkte at indgå i det hovedforløb, der førte til døden."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_25,"The code indicates a contributing cause of death for the death. These may be morbid conditions which have impaired the person's resilience and indirectly accelerated the course of the disease, or abuse or damage which may have contributed to the death without being directly included in the main course of death. led to death.",2002 og 2005,The code rules are updated at regular intervals and data breaks have occurred for some specific codes. The code exists only for the year 2002 with 80 observations and for the year 2005 with 295 observations.,Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder.Koden eksisterer kun for år 2002 med 80 observationer og for år 2005 med 295 observationer.,"Koden angiver en medvirkende dødsårsag for dødsfaldet. Dette kan være sygelige tilstande, som har forringet personens modstandskraft og indirekte fremskyndet sygdomsforløbet, eller misbrug eller skader, der kan have bidraget til dødsfaldet, uden direkte at indgå i det hovedforløb, der førte til døden."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_26,"The code indicates a contributing cause of death for the death. These may be morbid conditions which have impaired the person's resilience and indirectly accelerated the course of the disease, or abuse or damage which may have contributed to the death without being directly included in the main course of death. led to death.",2002-,The code rules are updated at regular intervals and data breaks have occurred for some specific codes. The code exists only for the year 2002 with 19 observations and for the year 2005 with 87 observations.,Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder.Koden eksisterer kun for år 2002 med 19 observationer og for år 2005 med 87 observationer.,"Koden angiver en medvirkende dødsårsag for dødsfaldet. Dette kan være sygelige tilstande, som har forringet personens modstandskraft og indirekte fremskyndet sygdomsforløbet, eller misbrug eller skader, der kan have bidraget til dødsfaldet, uden direkte at indgå i det hovedforløb, der førte til døden."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_26,"The code indicates a contributing cause of death for the death. These may be morbid conditions which have impaired the person's resilience and indirectly accelerated the course of the disease, or abuse or damage which may have contributed to the death without being directly included in the main course of death. led to death.",2002 og 2005,The code rules are updated at regular intervals and data breaks have occurred for some specific codes. The code exists only for the year 2002 with 19 observations and for the year 2005 with 87 observations.,Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder.Koden eksisterer kun for år 2002 med 19 observationer og for år 2005 med 87 observationer.,"Koden angiver en medvirkende dødsårsag for dødsfaldet. Dette kan være sygelige tilstande, som har forringet personens modstandskraft og indirekte fremskyndet sygdomsforløbet, eller misbrug eller skader, der kan have bidraget til dødsfaldet, uden direkte at indgå i det hovedforløb, der førte til døden."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_27,"The code indicates a contributing cause of death for the death. These may be morbid conditions which have impaired the person's resilience and indirectly accelerated the course of the disease, or abuse or damage which may have contributed to the death without being directly included in the main course of death. led to death.",2002-,The code rules are updated at regular intervals and data breaks have occurred for some specific codes. The code exists only for the year 2002 with 6 observations and for the year 2005 with 37 observations.,Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder.Koden eksisterer kun for år 2002 med 6 observationer og for år 2005 med 37 observationer.,"Koden angiver en medvirkende dødsårsag for dødsfaldet. Dette kan være sygelige tilstande, som har forringet personens modstandskraft og indirekte fremskyndet sygdomsforløbet, eller misbrug eller skader, der kan have bidraget til dødsfaldet, uden direkte at indgå i det hovedforløb, der førte til døden."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_27,"The code indicates a contributing cause of death for the death. These may be morbid conditions which have impaired the person's resilience and indirectly accelerated the course of the disease, or abuse or damage which may have contributed to the death without being directly included in the main course of death. led to death.",2002 og 2005,The code rules are updated at regular intervals and data breaks have occurred for some specific codes. The code exists only for the year 2002 with 6 observations and for the year 2005 with 37 observations.,Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder.Koden eksisterer kun for år 2002 med 6 observationer og for år 2005 med 37 observationer.,"Koden angiver en medvirkende dødsårsag for dødsfaldet. Dette kan være sygelige tilstande, som har forringet personens modstandskraft og indirekte fremskyndet sygdomsforløbet, eller misbrug eller skader, der kan have bidraget til dødsfaldet, uden direkte at indgå i det hovedforløb, der førte til døden."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_28,"The code indicates a contributing cause of death for the death. These may be morbid conditions which have impaired the person's resilience and indirectly accelerated the course of the disease, or abuse or damage which may have contributed to the death without being directly included in the main course of death. led to death.",2002-,The code rules are updated at regular intervals and data breaks have occurred for some specific codes. The code only exists for the year 2002 with 3 observations and for 2005 with 9 observations,Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder.Koden eksisterer kun for år 2002 med 3 observationer og for 2005 med 9 observationer,"Koden angiver en medvirkende dødsårsag for dødsfaldet. Dette kan være sygelige tilstande, som har forringet personens modstandskraft og indirekte fremskyndet sygdomsforløbet, eller misbrug eller skader, der kan have bidraget til dødsfaldet, uden direkte at indgå i det hovedforløb, der førte til døden."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_dod_28,"The code indicates a contributing cause of death for the death. These may be morbid conditions which have impaired the person's resilience and indirectly accelerated the course of the disease, or abuse or damage which may have contributed to the death without being directly included in the main course of death. led to death.",2002 og 2005,The code rules are updated at regular intervals and data breaks have occurred for some specific codes. The code only exists for the year 2002 with 3 observations and for 2005 with 9 observations,Kodereglerne opdateres med jævne mellemrum og databrud er opstået for enkelte specifikke koder.Koden eksisterer kun for år 2002 med 3 observationer og for 2005 med 9 observationer,"Koden angiver en medvirkende dødsårsag for dødsfaldet. Dette kan være sygelige tilstande, som har forringet personens modstandskraft og indirekte fremskyndet sygdomsforløbet, eller misbrug eller skader, der kan have bidraget til dødsfaldet, uden direkte at indgå i det hovedforløb, der førte til døden."
1,To link to other registries and data sources.,Dødsårsagsregisteret,t_dodsaarsag_2,v_pid,Anonymised social security number.,2002-,,,Anonymiseret personnummer.
1,An approximate indicator for potentially higher trauma experienced from parental death if it occurred near to the child's residence.,Dødsårsagsregisteret,t_dodsaarsag_2,c_dodssted,"Indicates the place of death of the deceased in general categories. Hospital or hospice, residential address, known address or place without known address. The place of death is the place where the death occurred. If the death occurred during transport to the hospital, the hospital is also the place of death. For the place of death outside the hospital, it is specified whether it is a nursing home, own home or other. For place of death at the deceased's residence, simply specify specification own home or If the deceased has been found dead, the place of finding is stated (see the variable c_findested).",2002-,"Known data breaks / changesThere are data breaks for the variable after the introduction of the electronic death certificate in 2007. This is due to the fact that many death certificates - despite the introduction - were not reported electronically, but continued on paper form. Significantly, the “page 1 of the certificate - which, among other things, contains information about place of death or find - is still often only reported in paper version.For the period 2007 to 2012, 20 - 25 per cent of page 1 of the death certificate is missing annually in the electronic version, where information An exception to this was 2009, when information was entered manually. Data are thus incomplete for the years 2007-2008, 2010 and onwards. For the year 2009, only almost 3 per cent of the information is missing. is increasing every year, so that in 2014 only 10 per cent of the certificates are now missing. Note, moreover, that in the period 2002 - 2006 hospice is considered a p rental home and is therefore listed as own home . From 2007 onwards, the hospice is considered a hospital.","Kendte databrud/ændringerDer er databrud for variablen efter indførelsen af den elektroniske dødsattest i 2007. Dette skyldes, at mange dødsattester – trods indførelsen – ikke blev indberettet elektronisk, men fortsat på papirblanket. Selvom andelen af elektroniske indberetninger siden er steget betydeligt bliver attestens ”side 1” ” - som blandt andet rummer information om døds- eller findested - fortsat ofte kun indberettet i papirversion. For perioden 2007 til 2012 mangler årligt 20 – 25 pct. af dødsattestens side 1 i den elektroniske udgave, hvor oplysninger om døds- eller findested er angivet. En undtagelse herfra var 2009, hvor oplysninger blev tastet manuelt. Data er således ukomplette for årene 2007-2008, 2010 og frem. For året 2009 mangler kun knap 3 pct. af oplysningerne. Andelen af indberettede dødsattester er stigende hvert år, så der i 2014 nu kun mangler 10 pct. af attesterne.Bemærk, desuden, at i perioden 2002 – 2006 regnes hospice som et plejehjem og er derfor angivet som ”eget hjem”. Fra 2007 og frem regnes hospice som et sygehus.","Angiver dødssted for afdøde i overordnede kategorier. Sygehus eller hospice, bopælsadressen, kendt adresse eller sted uden kendt adresse.Dødsstedet er det sted, hvor døden er indtrådt. Var afdøde indbragt livløs til sygehus, men forsøgt genoplivet, er dødsstedet sygehuset, hvor genoplivningsforsøget fandt sted. Indtraf døden under transport til sygehus, er sygehuset ligeledes dødsstedet.For dødssted uden for sygehus præciseres det, hvorvidt der er tale om plejehjem, eget hjem eller andet. For dødssted på afdødes bopæl angives blot præcisering eget hjem eller plejehjem. Er afdøde fundet død angives findested (se variablen c_findested)."
