rowid,name,value,name_english,value_english
11,kendte_databrud_aendringer,"Det skønnes, at det først er fra og med 1997, at nyinkluderede personer kan regnes som incidente.Det betyder opgørelser af prævalens for en landsdækkende population, kan foretages fra og med 31. december 1996.Årsagen er, at inklusionskriterierne, registreres fra og med bestemte skæringspunkter, hhv. 1990 (blod5i1, blod2i5, fodterapi og lpr) og 1994 (oad og ins). Nogle diabetespatienter kan således have opfyldt et kriterium inden skæringspunktet - fx kriteriet OAD inden 1994 - men det har ikke været muligt at registrere det på det pågældende tidspunkt. Og måske har de samme patienter først langt senere igen opfyldt dette eller et andet kriterium. Det har derfor været nødvendigt med en forudgående ’opsamlingsperiode’ (1990-1996), førend hele populationen kunne skønnes inkluderet i registeret.Beregninger af incidens for i 2011 viste en stigning på 4.627 i forhold til 2010. Størstedelen af denne stigning skyldtes en stigning i antallet af personer med fodterapi som inklusionsårsag. Årsagen til dette var ændringer i fodterapeuternes overenskomst med virkning fra juni 2011, som umiddelbart påvirkede ydelsesmønsteret. Det store ekstra antal inkluderede i forhold til 2010 skønnes derfor ikke at afspejle en så stor stigning i antallet af nydiagnosticerede diabetikere fra netop 2010 til 2011. Derimod dækker stigningen nærmere over en vis underestimering i de forudgående år.",known_data_breaks_changes,"It is estimated that it is only from 1997 onwards that newly included persons can be regarded as incidents. This means that statements of prevalence for a nationwide population can be made from 31 December 1996. The reason is that the inclusion criteria , are registered from and including certain intersections, 1990 (blood5i1, blood2i5, podiatry and lpr) and 1994 (oad and ins), respectively. Thus, some diabetic patients may have met a criterion before the intersection point - eg the criterion OAD before 1994 - but it has not been It is possible that the same patients have met this or another criterion only much later, and therefore a prior 'collection period' (1990-1996) has been necessary before the whole population could be estimated to be included in calculations.Calculations of incidence for 2011 showed an increase of 4,627 compared to 2010. The majority of this increase was due to an increase in the number of people with “feet api as the reason for inclusion. The reason for this was changes in the podiatrists' agreement with effect from June 2011, which immediately affected the performance pattern. The large additional number included in relation to 2010 is therefore not estimated to reflect such a large increase in the number of newly diagnosed diabetics from just 2010 to 2011. On the other hand, the increase more closely covers a certain underestimation in previous years. "
12,kendte_databrud_aendringer,"Det skønnes, at det først er fra og med 1997, at nyinkluderede personer kan regnes som incidente.Det betyder opgørelser af prævalens for en landsdækkende population, kan foretages fra og med 31. december 1996.Forekomsten af enkeltindivider, der er diagnosticerede i 2001, samt perioden 2005 – 10 kan være underestimeret, Dette skyldes ændringer i fodterapeuternes overenskomster og dermed ydelsesmønster. Dette har sandsynligvis igen medført et fald i antal personer, der er inkluderet via fodterapi som inklusionskriterium. Se også tilsvarende kommentar under variablene d_fodt og d_inklaarsag.",known_data_breaks_changes,"It is estimated that it is only from 1997 onwards that newly included persons can be regarded as incidents. This means that statements of prevalence for a nationwide population can be made from 31 December 1996. The incidence of individuals who are diagnosed in 2001, as well as the period 2005 - 10 may be underestimated, This is due to changes in the podiatrists' agreements and thus performance patterns.This has probably again led to a decrease in the number of people included via foot therapy as an inclusion criterion.See also corresponding comment below the variables d_foot and d_inklaarsag. "
13,kendte_databrud_aendringer,"Det skønnes, at det først er fra og med 1997, at nyinkluderede personer kan regnes som incidente.Det betyder, at opgørelser af fordelingen af inklusionsårsager først giver mening fra og med dette år. For den efterfølgende periode (1997 og frem) skal det bemærkes, at forekomsten af fodterapi som inklusionskriterium over tid har ændret sig i takt med ændringer i fodterapeuternes overenskomster og dermed ydelsesmønster. Dette ses som et fald i antallet af personer, der for første gang opfyldte kriteriet ’fodterapi’ i 2001og 2005-10, samt en betydelig stigning i 2011Se også tilsvarende bemærkninger i beskrivelsen af variablen d_inkldto.",known_data_breakings_changes,"It is estimated that it is only from 1997 onwards that newly included persons can be regarded as incidents. This means that statements of the distribution of inclusion reasons only make sense from this year onwards. For the subsequent period (1997 and It should be noted that the incidence of 'foot therapy' as an inclusion criterion has changed over time in line with changes in the podiatrists' agreements and thus the performance pattern. This is seen as a decrease in the number of people who for the first time met the 'foot therapy' criterion in 2001 and 2005-10, as well as a significant increase in 2011See also similar remarks in the description of the variable d_inkldto. "
14,kendte_databrud_aendringer,"Efter 2000 udgik variablen officielt fra indberetningen og blev afløst af administrative SKS-koder, der kan findes i T_SKSUBE. Der er dog blevet indberettet en del kontakter med angivelse af psykiatriske ydelse sidenhen, så reelt indeholder variablen data for kontakter indskrevet helt op til og med 2013.",known_data_breaks_changes,"After 2000, the variable was officially removed from the report and was replaced by administrative SKS codes, which can be found in T_SKSUBE. all the way up to and including 2013. "
15,kendte_databrud_aendringer,"Fodterapeuternes overenskomster og dermed ydelsesmønster har ændret sig over tid. Dette ses som et fald i antallet af personer, der for første gang opfyldte kriteriet ’fodterapi’ i 2001og 2005-10, samt en betydelig stigning i 2011.",known_data_breaks_changes,"Podiatrists' agreements and thus benefit patterns have changed over time. This is seen as a decrease in the number of people who first met the criterion 'podiatry' in 2001 and 2005-10, as well as a significant increase in 2011. "
16,kendte_databrud_aendringer,"For indlæggelser der er påbegyndt før 2015 er afslutningsdatoen obligatorisk at indberette, og herefter er den frivillig for planlagte indlæggelser. For akutte indlæggelser og akutte ambulante kontakter er afslutningsdatoen obligatorisk. Variablen er således altid udfyldt for alle akutte patientkontakter og skadestuekontakter samt alle indlæggelser med startdato før 2015.",known_date_date_changes,"For admissions started before 2015, the end date is mandatory to report, and thereafter it is voluntary for planned admissions. For acute admissions and acute outpatient contacts, the end date is mandatory. The variable is thus always filled in for all acute patient contacts and emergency room contacts. all admissions with start date before 2015. "
17,kendte_databrud_aendringer,Fra 1. jauar 2013 er variabel udvidde fra 9 til 11 pladser for at kunne rumme flere oplysninger.,known_data_breaks_changes,From 1 January 2013 the variable is expanded from 9 to 11 places to be able to accommodate more information. 
18,kendte_databrud_aendringer,Fra 1997 er data landsdækkende,known_data_breaks_changes,From 1997 data are nationwide 
19,kendte_databrud_aendringer,"Fra 2003 er hjemmebesøg indberettet med besøgsdato og en procedurekode AAF6 med samme proceduredato som kan findes i tabellen T_SKSUBE.Før 2003 måtte der kun indberettes ét besøg pr. dag på en kontakt, men fra 2003 og frem kan der eksistere et vilkårligt antal besøg pr. dag for hver kontakt.",known_data_breaks_changes,"From 2003, home visits have been reported with a visit date and a procedure code AAF6 with the same procedure date as can be found in the table T_SKSUBE. Before 2003, only one visit per day had to be reported on a contact, but from 2003 onwards any number of visits per day for each contact. "
20,kendte_databrud_aendringer,"Fra 2003 er hjemmebesøg indberettet med besøgsdato og en procedurekode AAF6 med samme proceduredato.Før 2003 kunne der kun indberettes et besøg pr. dag, dvs. fra 2003 kan der findes flere ens besøgsdatoer på samme kontakt.",known_data_breaks_changes,"From 2003, home visits have been reported with a date of visit and a procedure code AAF6 with the same procedure date. Before 2003, only one visit per day could be reported, ie from 2003 several identical visit dates can be found on the same contact. "
21,kendte_databrud_aendringer,"Frem til og med 1993 er der i LPR kun blevet registreret patienttype 0 (heldøgnspatient), selvom der i klassifikationen har eksisteret andre patienttyper helt tilbage fra 1977, hvilket fremgår af værdisættet.I 2002 udgik deldøgnspatient (1).Efter 2002 er det uens på tværs af sygehusene, hvordan de patienter, der før ville være registrerede som deldøgnspatienter, blev registreret. På visse sygehuse blev de registreret som ambulante patienter og andre som indlagte patienter (heldøgnspatienter). I 2014 udgik skadestuepatient (3) og blev erstattet af ambulant patient (2) med indskrivningsmåde akut (c_indm=1).",known_data_breaks_changes,"Up to and including 1993, only patient type 0 (round-the-clock patient) has been registered in LPR, although other patient types have existed in the classification since 1977, which appears from the set of values. In 2002, part-time patient was eliminated (1). In 2002, there was disagreement across hospitals as to how patients who would previously be registered as part-time patients were registered, and in some hospitals they were registered as outpatients and others as inpatients (round-the-clock patients). In 2014, the emergency room patient (3) and was replaced by outpatient (2) with enrollment mode acute (c_indm = 1). "
22,kendte_databrud_aendringer,"Frem til og med 1994 indeholder variablen kun informationer om, hvorvidt det er en arbejdsulykke eller ej, hvilket blev kodet med værdierne 1 og 2. Fra 1995 blev kodesættet for variablen udvidet til også at indeholde andre typer af aktiviteter.",known_data_change_changes,"Up to and including 1994, the variable only contains information on whether it is an accident at work or not, which was coded with values ​​1 and 2. From 1995, the code set for the variable was extended to include other types of activities. "
23,kendte_databrud_aendringer,"Generelt er denne variabel dårligt registreret. På nær dødsfald med dødsdato i 2009 mangler der oplysninger for langt hovedparten af tilfældene.I 2009 er variablen udfyldt i knapt 98 pct. af tilfældene.Det betyder, at variablen i statistisk sammenhæng udelukkende er brugbar i 2009.",known_data_breaks_changes,"In general, this variable is poorly registered. Except for deaths with a date of death in 2009, information is missing for the vast majority of cases. In 2009, the variable is filled in almost 98 per cent of cases. This means that the variable in statistical context is usable in 2009. "
24,kendte_databrud_aendringer,"Henvisningsdiagnose (diagnosetype H) er frivillig at registrere i perioden 1995-1998, herefter er den obligatorisk ved visse henvisningsmåder.Grundmorbus (diagnosetype G) er frivillig at registrere i perioden 1995 til 2001. Fra 2002 til og med 2003 bliver den udelukkende registreret på psykiatriske patienter, og efter 2003 udgår den helt.Komplikation (diagnosetype C) og midlertidig diagnose (diagnosetype M) udgår ved udgangen af 2013.",known_data_breaks_changes,"Referral diagnosis (diagnosis type H) is voluntary to register in the period 1995-1998, thereafter it is mandatory for certain referral methods. Basic mother bus (diagnosis type G) is voluntary to register in the period 1995 to 2001. From 2002 to 2003 it is exclusively registered in psychiatric patients, and after 2003 it will be deleted completely. Complication (diagnosis type C) and temporary diagnosis (diagnosis type M) will be deleted at the end of 2013. "
25,kendte_databrud_aendringer,"I 1994 skiftes fra ICD-8 diagnoseklassifikationen til ICD-10, så alle kontakter afsluttet efter 31. december 1994 er indberettet med (danske) ICD-10-koder. Henvisningsdiagnoser er kodet efter ICD-10, hvor henvisningsdatoen er efter 31. december 1994.",known_data_breaks_changes,"In 1994, the ICD-8 diagnostic classification is changed to ICD-10, so that all contacts terminated after 31 December 1994 are reported with (Danish) ICD-10 codes. Referral diagnoses are coded according to ICD-10, where the reference date is after 31 December 1994. "
26,kendte_databrud_aendringer,"I 1995 skiftes fra ICD-8 diagnoseklassifikationen til ICD-10, så alle kontakter afsluttet efter 31. december 1994 er indberettet med (danske) ICD-10-koder.",known_data_breaks_changes,"In 1995, the ICD-8 diagnostic classification is changed to ICD-10, so that all contacts terminated after 31 December 1994 are reported with (Danish) ICD-10 codes. "
27,kendte_databrud_aendringer,"I 1999 blev variablen frivillig at indberette, og efter 2000 udgik den officielt fra indberetningen. Der er dog alligevel blevet indberettet en del kontakter til LPR med oplysningen efter 2000, så reelt indeholder variablen data for kontakter indskrevet helt op til og med 2013.",known_data_breaks_changes,"In 1999, the variable became voluntary to report, and after 2000 it was officially dropped from the report. However, a number of contacts have been reported to LPR with the information after 2000, so in fact the variable contains data for contacts entered up to and with 2013. "
28,kendte_databrud_aendringer,"I 1999 og 2000 var kravet, at der skulle være indberetning af, om der var læge tilstede eller ej - værdierne 0 og B. Øvrige værdier var ikke obligatoriske at indberette.Efter 2000 udgik variablen fra indberetningen og blev afløst af administrative SKS-koder, der kan findes i T_SKSUBE. Der er dog alligevel blevet indberettet en del kontakter til LPR med personalekategori efter 2000, så reelt indeholder variablen data for kontakter indskrevet helt op til og med 2013.",known_data_breaks_changes,"In 1999 and 2000, the requirement was that there should be reporting of whether a doctor was present or not - the values ​​0 and B. Other values ​​were not mandatory to report. After 2000, the variable was deleted from the report and was replaced by administrative SKS codes that can be found in T_SKSUBE. However, a number of contacts have been reported to LPR with staff category after 2000, so in fact the variable contains data for contacts entered up to and including 2013. "
29,kendte_databrud_aendringer,"I 1999 udgik henvisningsmåden 6 og blev erstattet af B, C og DI 2004 udgik henvisningsmåderne 3, 5, B, C og D, og de blev erstattet af F og G",known_data_breaks_changes,"In 1999, reference method 6 was deleted and replaced by B, C and DI. In 2004, reference methods 3, 5, B, C and D were deleted and they were replaced by F and G "
30,kendte_databrud_aendringer,"I 2004 udgik værdierne 3, 5, B og C og blev erstattet af F og G.",known_data_breaks_changes,"In 2004 the values ​​3, 5, B and C were deleted and replaced by F and G. "
31,kendte_databrud_aendringer,I 2005 skiftede værdierne fra 1 og 2 til M og K for hhv. mand og kvinde.,known_data breaks_changes,In 2005 the values ​​changed from 1 and 2 to M and K for resp. man and woman.
